Date,Adj Close,Close,High,Low,Open,Volume,Year,Month,Month_Name,Day,Daily Price Change,Daily % Change,High-Low Spread,MA_7,MA_30,Volatility
2021-07-12,140.85165405273438,144.5,146.32000732421875,144.0,146.2100067138672,76299700,2021,7,July,Monday,-1.7100067138671875,,2.32000732421875,,,
2021-07-13,141.9628448486328,145.63999938964844,147.4600067138672,143.6300048828125,144.02999877929688,100827100,2021,7,July,Tuesday,1.6100006103515625,0.7889269132515198,3.8300018310546875,,,
2021-07-14,145.38424682617188,149.14999389648438,149.57000732421875,147.67999267578125,148.10000610351562,127050800,2021,7,July,Wednesday,1.04998779296875,2.4100484218248397,1.8900146484375,,,
2021-07-15,144.7311553955078,148.47999572753906,150.0,147.08999633789062,149.24000549316406,106820300,2021,7,July,Thursday,-0.760009765625,-0.4492109932034749,2.910003662109375,,,
2021-07-16,142.6939239501953,146.38999938964844,149.75999450683594,145.8800048828125,148.4600067138672,93251400,2021,7,July,Friday,-2.07000732421875,-1.4075945568625792,3.8799896240234375,,,
2021-07-19,138.85337829589844,142.4499969482422,144.07000732421875,141.6699981689453,143.75,121434600,2021,7,July,Monday,-1.3000030517578125,-2.6914423511397723,2.4000091552734375,,,
2021-07-20,142.45993041992188,146.14999389648438,147.10000610351562,142.9600067138672,143.4600067138672,96350000,2021,7,July,Tuesday,2.6899871826171875,2.5974005107115117,4.1399993896484375,146.1085684640067,,
2021-07-21,141.7289276123047,145.39999389648438,146.1300048828125,144.6300048828125,145.52999877929688,74993500,2021,7,July,Wednesday,-0.1300048828125,-0.5131714206784155,1.5,146.23713902064733,,
2021-07-22,143.0935516357422,146.8000030517578,148.1999969482422,145.80999755859375,145.94000244140625,77338200,2021,7,July,Thursday,0.8600006103515625,0.9628674099327439,2.3899993896484375,146.4028538295201,,
2021-07-23,144.80914306640625,148.55999755859375,148.72000122070312,146.9199981689453,147.5500030517578,71447400,2021,7,July,Friday,1.0099945068359375,1.1989063148829748,1.8000030517578125,146.31856863839286,,
2021-07-26,145.22828674316406,148.99000549316406,149.8300018310547,147.6999969482422,148.27000427246094,72434100,2021,7,July,Monday,0.720001220703125,0.2894506876931713,2.1300048828125,146.39142717633928,,
2021-07-27,143.0643768310547,146.77000427246094,149.2100067138672,145.5500030517578,149.1199951171875,104818600,2021,7,July,Tuesday,-2.3499908447265625,-1.4900336524955593,3.660003662109375,146.44571358816964,,
2021-07-28,141.31951904296875,144.97999572753906,146.97000122070312,142.5399932861328,144.80999755859375,118931200,2021,7,July,Wednesday,0.1699981689453125,-1.2196010716187922,4.4300079345703125,146.80714198521204,,
2021-07-29,141.9628448486328,145.63999938964844,146.5500030517578,144.5800018310547,144.69000244140625,56699500,2021,7,July,Thursday,0.9499969482421875,0.45523774421245555,1.970001220703125,146.73428562709265,,
2021-07-30,142.17730712890625,145.86000061035156,146.3300018310547,144.11000061035156,144.3800048828125,70440600,2021,7,July,Friday,1.4799957275390625,0.1510582406104799,2.220001220703125,146.8000008719308,,
2021-08-02,141.8459014892578,145.52000427246094,146.9499969482422,145.25,146.36000061035156,62880000,2021,8,August,Monday,-0.839996337890625,-0.2330977214232255,1.6999969482421875,146.61714390345983,,
2021-08-03,143.6394500732422,147.36000061035156,148.0399932861328,145.17999267578125,145.80999755859375,64786600,2021,8,August,Tuesday,1.5500030517578125,1.2644284523559701,2.8600006103515625,146.44571576799666,,
2021-08-04,143.23980712890625,146.9499969482422,147.7899932861328,146.27999877929688,147.27000427246094,56368300,2021,8,August,Wednesday,-0.32000732421875,-0.278232668574363,1.5099945068359375,146.15428597586495,,
2021-08-05,143.34701538085938,147.05999755859375,147.83999633789062,146.1699981689453,146.97999572753906,46397700,2021,8,August,Thursday,0.0800018310546875,0.07485580989179397,1.6699981689453125,146.19571358816964,,
2021-08-06,142.66366577148438,146.13999938964844,147.11000061035156,145.6300048828125,146.35000610351562,54126800,2021,8,August,Friday,-0.2100067138671875,-0.6255937605185613,1.4799957275390625,146.3614283970424,,
2021-08-09,142.61485290527344,146.08999633789062,146.6999969482422,145.52000427246094,146.1999969482422,48908700,2021,8,August,Monday,-0.1100006103515625,-0.03421585600564825,1.17999267578125,146.42571367536272,,
2021-08-10,142.13656616210938,145.60000610351562,147.7100067138672,145.3000030517578,146.44000244140625,69023100,2021,8,August,Tuesday,-0.839996337890625,-0.335403002709167,2.410003662109375,146.3885716029576,,
2021-08-11,142.39028930664062,145.86000061035156,146.72000122070312,145.52999877929688,146.0500030517578,48493500,2021,8,August,Wednesday,-0.19000244140625,0.178567648308392,1.19000244140625,146.43714250837053,,
2021-08-12,145.34828186035156,148.88999938964844,149.0500030517578,145.83999633789062,146.19000244140625,72282600,2021,8,August,Thursday,2.6999969482421875,2.0773335846824503,3.2100067138671875,146.6557137625558,,
2021-08-13,145.55325317382812,149.10000610351562,149.44000244140625,148.27000427246094,148.97000122070312,59375000,2021,8,August,Friday,0.1300048828125,0.14104823341263284,1.1699981689453125,146.96285792759485,,
2021-08-16,147.52520751953125,151.1199951171875,151.19000244140625,146.47000122070312,148.5399932861328,103296000,2021,8,August,Monday,2.5800018310546875,1.3547880154139325,4.720001220703125,147.54285757882255,,
2021-08-17,146.6173553466797,150.19000244140625,151.67999267578125,149.08999633789062,150.22999572753906,92229700,2021,8,August,Tuesday,-0.0399932861328125,-0.6154001494375949,2.589996337890625,148.12142944335938,,
2021-08-18,142.87844848632812,146.36000061035156,150.72000122070312,146.14999389648438,149.8000030517578,86326000,2021,8,August,Wednesday,-3.44000244140625,-2.5501043803157875,4.57000732421875,148.16000148228235,,
2021-08-19,143.21031188964844,146.6999969482422,148.0,144.5,145.02999877929688,86960300,2021,8,August,Thursday,1.6699981689453125,0.23230140507841668,3.5,148.317143031529,,
2021-08-20,144.66488647460938,148.19000244140625,148.5,146.77999877929688,147.44000244140625,60549600,2021,8,August,Friday,0.75,1.0156820205591055,1.720001220703125,148.6500004359654,146.89633280436198,
2021-08-23,146.14878845214844,149.7100067138672,150.19000244140625,147.88999938964844,148.30999755859375,60131800,2021,8,August,Monday,1.4000091552734375,1.0257131030562805,2.3000030517578125,148.76714433942522,147.06999969482422,1.2627484882489524
2021-08-24,146.06088256835938,149.6199951171875,150.86000061035156,149.14999389648438,149.4499969482422,48606400,2021,8,August,Tuesday,0.1699981689453125,-0.06012396810035625,1.7100067138671875,148.84142848423548,147.20266621907552,1.2568757800602666
2021-08-25,144.83087158203125,148.36000061035156,150.32000732421875,147.8000030517578,149.80999755859375,58991300,2021,8,August,Wednesday,-1.4499969482421875,-0.8421297606974743,2.5200042724609375,148.4471435546875,147.17633310953775,1.1889599991987239
2021-08-26,144.0303955078125,147.5399932861328,149.1199951171875,147.50999450683594,148.35000610351562,48597200,2021,8,August,Thursday,-0.8100128173828125,-0.5527145597501004,1.6100006103515625,148.06857081821985,147.1449996948242,1.1904251451639039
2021-08-27,145.06515502929688,148.60000610351562,148.75,146.8300018310547,147.47999572753906,55802400,2021,8,August,Friday,1.1200103759765625,0.7184579541948732,1.9199981689453125,148.3885716029576,147.21866658528646,1.1676866966090098
2021-08-30,149.4776153564453,153.1199951171875,153.49000549316406,148.61000061035156,149.0,90956700,2021,8,August,Monday,4.1199951171875,3.041715227469921,4.8800048828125,149.3057141985212,147.57433319091797,1.1715780716862898
2021-08-31,148.2183074951172,151.8300018310547,152.8000030517578,151.2899932861328,152.66000366210938,86453100,2021,8,August,Tuesday,-0.8300018310546875,-0.8424721311841354,1.510009765625,149.82571411132812,147.76366678873697,1.0998116969573826
2021-09-01,148.8821258544922,152.50999450683594,154.97999572753906,152.33999633789062,152.8300018310547,80313700,2021,9,September,Wednesday,-0.32000732421875,0.44786449817599827,2.6399993896484375,150.2257123674665,148.00066680908202,1.0943238435591
2021-09-02,149.99501037597656,153.64999389648438,154.72000122070312,152.39999389648438,153.8699951171875,71115500,2021,9,September,Thursday,-0.220001220703125,0.7474915944589711,2.32000732421875,150.80142647879464,148.22899983723957,1.0896055907233093
2021-09-03,150.62957763671875,154.3000030517578,154.6300048828125,153.08999633789062,153.75999450683594,57808700,2021,9,September,Friday,0.540008544921875,0.42304535053308,1.540008544921875,151.6499982561384,148.4203333536784,1.0731270662676673
2021-09-07,152.96270751953125,156.69000244140625,157.25999450683594,154.38999938964844,154.97000122070312,82278300,2021,9,September,Tuesday,1.720001220703125,1.548930228372547,2.8699951171875,152.95714242117745,148.6769999186198,1.1037003677518373
2021-09-08,151.42030334472656,155.11000061035156,157.0399932861328,153.97999572753906,156.97999572753906,74420200,2021,9,September,Wednesday,-1.8699951171875,-1.0083616098260806,3.05999755859375,153.88714163643974,148.9549997965495,1.0819480724723511
2021-09-09,150.405029296875,154.07000732421875,156.11000061035156,153.9499969482422,155.49000549316406,57305700,2021,9,September,Thursday,-1.4199981689453125,-0.6704875778740793,2.160003662109375,154.02285766601562,149.25800018310548,1.0617342845134858
2021-09-10,145.4263916015625,148.97000122070312,155.47999572753906,148.6999969482422,155.0,140893200,2021,9,September,Friday,-6.029998779296875,-3.3101874869022163,6.779998779296875,153.6142861502511,149.36900024414064,1.2392652084578375
2021-09-13,145.9925537109375,149.5500030517578,151.4199981689453,148.75,150.6300048828125,102404300,2021,9,September,Monday,-1.0800018310546875,0.3893413615506436,2.6699981689453125,153.1914302280971,149.49200032552082,1.240480624590507
2021-09-14,144.59657287597656,148.1199951171875,151.07000732421875,146.91000366210938,150.35000610351562,109296300,2021,9,September,Tuesday,-2.230010986328125,-0.9562072252685905,4.160003662109375,152.40143040248327,149.57866668701172,1.253942908985404
2021-09-15,145.4849090576172,149.02999877929688,149.44000244140625,146.3699951171875,148.55999755859375,83281300,2021,9,September,Wednesday,0.470001220703125,0.6143692223250508,3.07000732421875,151.64857264927454,149.63433329264322,1.2380472336061334
2021-09-16,145.25059509277344,148.7899932861328,148.97000122070312,147.22000122070312,148.44000244140625,68034100,2021,9,September,Thursday,0.3499908447265625,-0.16104508832446296,1.75,150.51999991280692,149.69566650390624,1.2371767928957902
2021-09-17,142.58554077148438,146.05999755859375,148.82000732421875,145.75999450683594,148.82000732421875,129868800,2021,9,September,Friday,-2.760009765625,-1.8347979371765355,3.0600128173828125,149.22714233398438,149.6623331705729,1.2840356441685903
2021-09-20,139.539794921875,142.94000244140625,144.83999633789062,141.27000427246094,143.8000030517578,123478900,2021,9,September,Monday,-0.8600006103515625,-2.136105141269684,3.5699920654296875,147.63714163643974,149.5556666056315,1.3373240351240587
2021-09-21,140.0181121826172,143.42999267578125,144.60000610351562,142.77999877929688,143.92999267578125,75834000,2021,9,September,Tuesday,-0.5,0.3427943374884501,1.82000732421875,146.84571184430803,149.46699981689454,1.3393941041189537
2021-09-22,142.3805694580078,145.85000610351562,146.42999267578125,143.6999969482422,144.4499969482422,76404300,2021,9,September,Wednesday,1.4000091552734375,1.6872436389261614,2.7299957275390625,146.31714085170202,149.47533315022787,1.3750958847682366
2021-09-23,143.33724975585938,146.8300018310547,147.0800018310547,145.63999938964844,146.64999389648438,64838200,2021,9,September,Thursday,0.1800079345703125,0.6719202513049805,1.44000244140625,146.13285609654017,149.5076665242513,1.3800619944747081
