Date,Close
2021-07-31,
2021-08-31,4.092966677445253
2021-09-30,-6.803663114322534
2021-10-31,5.86572653834474
2021-11-30,10.347129295214064
2021-12-31,7.422869961241929
2022-01-31,-1.5712161006040226
2022-02-28,-5.52695029727488
2022-03-31,5.747338768044963
2022-04-30,-9.713078663640829
2022-05-31,-5.588327243690561
2022-06-30,-8.142969239043229
2022-07-31,18.863365312951387
2022-08-31,-3.2551802750262815
2022-09-30,-12.097700117532085
2022-10-31,10.955137282179962
2022-11-30,-3.462891408248747
2022-12-31,-12.227255456849361
2023-01-31,11.05210607237126
2023-02-28,2.16231930220514
2023-03-31,11.864859778760506
2023-04-30,2.8987258679327166
2023-05-31,4.461343500104498
2023-06-30,9.433004920001764
2023-07-31,1.2785460184213004
2023-08-31,-4.367524542805268
2023-09-30,-8.867828198392369
2023-10-31,-0.25699575033695243
2023-11-30,11.231476369339344
2023-12-31,1.3582531574126255
2024-01-31,-4.222721100274951
2024-02-29,-1.9793893803127682
2024-03-31,-5.128633069134681
2024-04-30,-0.6706286010827567
2024-05-31,12.869135168968704
2024-06-30,9.555264040149547
2024-07-31,5.4410820337788435
2024-08-31,3.1159933861175215
2024-09-30,1.7467248908296984
2024-10-31,-3.0429168832148745
2024-11-30,5.055109549741799
2024-12-31,5.515525317868941
2025-01-31,-5.758325323210367
2025-02-28,2.4745747194451884
2025-03-31,-8.150013129978728
2025-04-30,-4.335301252027135
2025-05-31,-5.4823500689338385
2025-06-30,2.150854834031346
2025-07-31,1.1697661337878307
2025-08-31,11.836966420226602
2025-09-30,9.688121630178204
2025-10-31,6.181514327668869
2025-11-30,3.1364467727465817
2025-12-31,-2.5067314322949175
2026-01-31,-4.5538052792965855
2026-02-28,1.8113078042457653
2026-03-31,-3.9329243991613416
2026-04-30,6.919111581198156
2026-05-31,15.00276047148783
2026-06-30,-7.274246101591075
2026-07-31,9.282560557399332
