Metric,Value
Highest Closing Price,316.2200012207031
Lowest Closing Price,125.0199966430664
Average Closing Price,196.60729076491884
Highest Trading Volume,318679900.0
Average Trading Volume,65098099.15139442
Highest Daily Return,15.328852926139636
Lowest Daily Return,-9.245610346452683
