Year,Month,Close
2021,7,146.38399861653645
2021,8,148.17772743918678
2021,9,148.30619012741815
2021,10,145.56380862281435
2021,11,154.25571623302642
2021,12,173.55272743918678
2022,1,169.86149978637695
2022,2,169.83000102796052
2022,3,165.31043541949728
2022,4,166.8209991455078
2022,5,148.43047659737724
2022,6,139.79857308523995
2022,7,149.670499420166
2022,8,166.88521808126697
2022,9,153.0028555733817
2022,10,145.01333327520462
2022,11,145.84333147321428
2022,12,137.87666647774833
2023,1,135.77899932861328
2023,2,150.9684207313939
2023,3,154.96478205141813
2023,4,165.04579001978823
2023,5,172.62272782759234
2023,6,184.28333318801154
2023,7,192.4115005493164
2023,8,181.0839133884596
2023,9,177.00250091552735
2023,10,174.66863805597478
2023,11,185.87952314104353
2023,12,194.30850143432616
2024,1,187.72428385416666
2024,2,184.77550048828124
2024,3,172.69649963378907
2024,4,169.6045448996804
2024,5,186.2859087857333
2024,6,206.26315789473685
2024,7,224.59863697398794
2024,8,221.63818151300603
2024,9,223.75800094604492
2024,10,230.0560873280401
2024,11,227.81049880981445
2024,12,249.32285635811942
2025,1,234.58699951171874
2025,2,238.51368392141242
2025,3,222.7028576078869
2025,4,201.1838110060919
2025,5,203.94714282807848
2025,6,200.65699996948243
2025,7,211.28090945157138
2025,8,224.6471419561477
2025,9,242.48619006928942
2025,10,258.29521643597144
2025,11,271.6563158537212
2025,12,276.30636180530894
2026,1,257.64949798583984
2026,2,269.178421823602
2026,3,254.9063630537553
2026,4,264.69476100376676
2026,5,297.54149932861327
2026,6,296.41952369326634
2026,7,309.3233388264974
